1 Fitness= 44840 Best= 54740
10001 Fitness= 47940 Best= 33650
20001 Fitness= 39870 Best= 30830
30001 Fitness= 44790 Best= 30830
40001 Fitness= 50040 Best= 30830
50001 Fitness= 45700 Best= 30830
60001 Fitness= 46800 Best= 30830
70001 Fitness= 45920 Best= 30830
80001 Fitness= 54130 Best= 30830
90001 Fitness= 46910 Best= 30830
100000 Fitness= 51140 Best= 30830


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
10013	2	1
9205	6	1
9206	3	1
8885	2	1
9245	6	2
9246	5	2
9887	4	3
9505	2	1
9976	3	1
10062	3	1
9989	3	1
10248	3	1
10249	2	1
10508	3	2
41	4	10347	8	7
42	3	9999	6	4
43	1	10807	1	1
44	1	9667	3	2
45	3	9624	5	2
46	5	9787	2	2
47	5	8885	1	1
48	3	9991	1	1
49	5	9206	4	1
50	4	9624	5	2
51	2	9545	2	1
52	5	9489	1	2
53	2	9105	2	1
54	2	9245	7	2
55	5	10527	2	1
56	3	9912	3	1
57	3	9206	4	1
58	2	8985	1	1
59	3	10011	1	1
60	3	9989	3	1
61	2	9249	1	1
62	4	9007	2	3
63	1	10347	8	7
64	1	10347	8	7
65	2	9667	3	2
66	4	9389	1	1
67	4	10472	2	4
68	2	9245	7	2
69	5	9624	5	2
70	5	9405	2	1
71	2	9827	7	1
72	4	10187	2	1
73	1	9999	6	4
74	1	10347	8	7
75	4	9999	6	4
76	1	9465	1	1
77	3	9688	3	1
78	3	8825	2	1
79	1	9245	7	2
80	2	10009	2	1
81	1	9999	6	4
82	4	9245	7	2
83	1	9887	1	3
84	2	10332	1	1
85	4	9206	4	1
86	2	9976	3	1
87	5	9306	1	1
88	1	10347	8	7
89	5	10039	2	2
90	2	10039	2	2
91	1	9982	2	2
92	4	9827	7	1
93	2	9627	1	1
94	1	10367	1	1
95	4	9620	1	1
96	3	9007	2	3
97	2	9245	7	2
98	1	8825	2	1
99	5	10022	2	2
100	5	9171	1	1
101	4	9888	1	1
102	3	9667	3	2
103	1	10508	2	2
104	2	9689	2	1
105	1	10347	8	7
106	3	10002	1	1
107	4	10010	1	1
108	1	10747	1	1
109	5	9505	2	1
110	3	10261	1	1
111	3	9346	1	1
112	5	9025	1	1
113	1	10707	1	1
114	2	10013	1	1
115	2	9426	3	5
116	5	9265	3	4
117	1	9006	2	3
118	2	10107	2	4
119	4	9827	7	1
120	1	9545	2	1
121	3	10009	2	1
122	1	9205	1	1
123	4	9245	7	2
124	1	9927	1	1
125	3	9446	1	1
126	1	9912	3	1
127	5	9611	1	1
128	5	9976	3	1
129	3	9426	3	5
