140001 Fitness= 11350 Best= 11350
150001 Fitness= 11330 Best= 11330
160001 Fitness= 11320 Best= 11320
170001 Fitness= 11320 Best= 11320
180001 Fitness= 11320 Best= 11320
190001 Fitness= 11320 Best= 11320
200001 Fitness= 11320 Best= 11320
210001 Fitness= 11320 Best= 11320
220001 Fitness= 11320 Best= 11320
230001 Fitness= 11320 Best= 11320
240001 Fitness= 11320 Best= 11320
250001 Fitness= 11320 Best= 11320
260001 Fitness= 11320 Best= 11320
270001 Fitness= 11320 Best= 11320
280001 Fitness= 11320 Best= 11320
290001 Fitness= 11320 Best= 11320
300001 Fitness= 11320 Best= 11320
310001 Fitness= 11320 Best= 11320
320001 Fitness= 11320 Best= 11320
330001 Fitness= 11320 Best= 11320
340001 Fitness= 11320 Best= 11320
350001 Fitness= 11320 Best= 11320
360001 Fitness= 11320 Best= 11320
370001 Fitness= 11320 Best= 11320
380001 Fitness= 11320 Best= 11320
390001 Fitness= 11320 Best= 11320
400001 Fitness= 11320 Best= 11320
410001 Fitness= 11320 Best= 11320
420001 Fitness= 11320 Best= 11320
430001 Fitness= 11320 Best= 11320
440001 Fitness= 11320 Best= 11320
450001 Fitness= 11320 Best= 11320
460001 Fitness= 11320 Best= 11320
470001 Fitness= 11320 Best= 11320
480001 Fitness= 11320 Best= 11320
490001 Fitness= 11320 Best= 11320
500000 Fitness= 11300 Best= 11300


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
9208	2	1
9246	6	2
10607	2	1
9545	2	1
9827	3	1
9667	3	2
Complete List of Project Allocations Made:
STUDENT	CHOICE	PRJ_ID	N_ALLOC	MAX
1	2	10471	1	1
2	1	9911	1	1
3	1	10767	1	1
4	1	9166	1	2
5	2	10327	2	4
6	3	8826	1	1
7	1	10587	1	1
8	5	9105	1	1
9	1	10607	2	1
10	1	10088	1	4
11	1	10044	1	1
12	1	9996	1	1
13	1	10607	2	1
14	2	9689	1	1
15	1	10253	1	1
16	1	9246	6	2
17	1	10022	2	2
18	1	10327	2	4
19	4	9007	3	3
20	1	9426	5	5
21	1	10667	1	1
22	1	9528	1	1
23	1	9007	3	3
24	2	9999	4	4
25	1	9426	5	5
26	1	9246	6	2
27	3	9365	1	1
28	1	10016	1	1
29	1	10347	7	7
30	3	9225	1	2
31	1	9993	1	1
32	3	9489	1	2
33	4	10271	1	4
34	2	9982	2	2
35	3	9688	1	1
36	1	9972	1	1
37	4	10567	1	1
38	5	10001	2	3
39	1	10022	2	2
40	4	9265	4	4
41	1	9667	3	2
42	2	10107	1	4
43	1	10807	1	1
44	1	9667	3	2
45	4	10470	1	2
46	2	9565	1	1
47	1	9226	2	2
48	3	9991	1	1
49	1	9545	2	1
50	1	9265	4	4
51	1	9208	2	1
52	2	10023	1	2
53	1	9006	3	3
54	3	9982	2	2
55	2	10472	2	4
56	5	8646	1	1
57	1	10259	1	2
58	1	10268	1	2
59	2	9249	1	1
60	5	9209	1	1
61	3	10187	1	1
62	1	10032	1	1
63	1	10347	7	7
64	1	10347	7	7
65	3	9728	1	2
66	1	10687	1	2
67	1	9426	5	5
68	1	9827	3	1
69	1	9827	3	1
70	1	9624	2	2
71	4	10064	2	2
72	1	10030	2	2
73	1	9999	4	4
74	1	10347	7	7
75	5	10012	1	1
76	1	9465	1	1
77	1	10046	1	4
78	4	10472	2	4
79	3	9265	4	4
80	1	10010	1	1
81	1	9999	4	4
82	1	9827	3	1
83	1	9887	2	3
84	1	9887	2	3
85	2	10039	2	2
86	1	9245	2	2
87	1	10013	1	1
88	1	10347	7	7
89	2	10025	1	1
90	1	10127	2	4
91	2	9968	1	1
92	3	9787	2	2
93	1	8985	1	1
94	1	10367	1	1
95	2	10039	2	2
96	1	9205	1	1
97	1	9246	6	2
98	1	8825	1	1
99	1	10627	1	1
100	1	10062	1	1
101	1	9984	1	1
102	1	9226	2	2
103	2	10507	1	1
104	3	9989	1	1
105	1	10347	7	7
106	2	10000	1	1
107	5	9325	1	1
108	1	10747	1	1
109	5	9505	1	1
110	1	10007	1	1
111	1	10170	1	1
112	1	9306	1	1
113	1	10707	1	1
114	1	9627	1	1
115	2	9426	5	5
116	1	9245	2	2
117	1	9006	3	3
118	1	10128	1	1
119	1	9246	6	2
120	1	9545	2	1
121	1	10001	2	3
122	3	9007	3	3
123	2	9999	4	4
124	1	9927	1	1
125	1	8885	1	1
126	5	10030	2	2
127	5	9611	1	1
128	1	9246	6	2
129	1	9912	1	1
130	1	9206	1	1
131	1	10045	1	2
132	1	9208	2	1
133	1	10249	1	1
134	1	10508	2	2
135	1	10508	2	2
136	1	9624	2	2
137	1	9788	1	1
138	3	10729	1	1
139	4	10064	2	2
140	2	9787	2	2
141	1	9426	5	5
142	5	9405	1	1
143	3	10056	1	1
144	1	9667	3	2
145	1	10048	1	1
146	1	9976	1	1
147	1	10127	2	4
148	5	9265	4	4
149	5	9647	1	1
150	1	10347	7	7
151	4	9619	1	1
152	1	9246	6	2
153	2	9006	3	3
154	1	10787	1	1
155	3	9616	1	1
156	4	9613	1	1
157	1	10248	1	1
Summary details:
#violations= 10
fitness= 11300
99 students got their choice 1 project
20 students got their choice 2 project
16 students got their choice 3 project
10 students got their choice 4 project
12 students got their choice 5 project
gc=1
1 Fitness= 46880 Best= 46880
10001 Fitness= 14230 Best= 14230
20001 Fitness= 14230 Best= 14230
30001 Fitness= 14230 Best= 14230
40001 Fitness= 14230 Best= 14230
50001 Fitness= 14230 Best= 14230
60001 Fitness= 14230 Best= 14230
70001 Fitness= 14230 Best= 14230
80001 Fitness= 14230 Best= 14230
90001 Fitness= 14230 Best= 14230
100001 Fitness= 14230 Best= 14230
110001 Fitness= 14230 Best= 14230
120001 Fitness= 14230 Best= 14230
130001 Fitness= 14230 Best= 14230
140001 Fitness= 14230 Best= 14230
150001 Fitness= 14230 Best= 14230
160001 Fitness= 14230 Best= 14230
170001 Fitness= 14190 Best= 14190
180001 Fitness= 14190 Best= 14190
190001 Fitness= 13210 Best= 13210
200001 Fitness= 13210 Best= 13210
210001 Fitness= 13190 Best= 13190
220001 Fitness= 13190 Best= 13190
230001 Fitness= 13190 Best= 13190
240001 Fitness= 13190 Best= 13190
250001 Fitness= 13190 Best= 13190
260001 Fitness= 13190 Best= 13190
270001 Fitness= 13190 Best= 13190
280001 Fitness= 13190 Best= 13190
290001 Fitness= 13190 Best= 13190
300001 Fitness= 13190 Best= 13190
310001 Fitness= 13190 Best= 13190
320001 Fitness= 13190 Best= 13190
330001 Fitness= 13190 Best= 13190
340001 Fitness= 13190 Best= 13190
350001 Fitness= 13190 Best= 13190
360001 Fitness= 13190 Best= 13190
370001 Fitness= 13190 Best= 13190
380001 Fitness= 13190 Best= 13190
390001 Fitness= 13190 Best= 13190
400001 Fitness= 13190 Best= 13190
410001 Fitness= 13190 Best= 13190
